airportIataCode,retailerName,description,retailerType,retailerCategory,retailerPriceCategory,retailerFoodSeatingType,searchTags,terminal,concourse,gate,hasDelivery,hasPickup,imageBackground,imageLogo,isActive,isChain,openTimesMonday,openTimesTuesday,openTimesWednesday,openTimesThursday,openTimesFriday,openTimesSaturday,openTimesSunday,closeTimesMonday,closeTimesTuesday,closeTimesWednesday,closeTimesThursday,closeTimesFriday,closeTimesSaturday,closeTimesSunday
JFK,McDonald's T4,,Food,Fast Food,1,Food Court,,4,,2,Y,Y,,jfk-mcdonalds-logo.png,Y,Y,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,12:00 AM,12:00 AM,12:00 AM,12:00 AM,12:00 AM,12:00 AM,12:00 AM
JFK,Pizza Vino,,Food,Pizza,2,Grab n Go,,4,,29,Y,Y,,jfk-pizza-vino-logo.png,Y,N,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
JFK,Camden Food Co.,,Food,Sandwich,1,Grab n Go,,4,,-11,Y,Y,,jfk-camden-logo.png,Y,Y,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
JFK,Mi Casa,,Food,Mexican,2,Sit Down,,4,,22,Y,Y,,jfk-mi-casa-logo.png,Y,N,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,6:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
JFK,The Bar,,Food,Bar,2,Sit Down,,4,,22,Y,Y,,jfk-bar-logo.png,Y,N,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
JFK,Mezze Cafe,,Food,Sandwich; Salad,1,Food Court,,8,,-22,Y,Y,,jfk-mezze-logo.png,Y,N,4:30 AM,4:30 AM,4:30 AM,4:30 AM,4:30 AM,4:30 AM,4:30 AM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM
JFK,Abitino's Pizzería,,Food,Pizza; Italian,1,Food Court,,8,,-22,Y,Y,,jfk-abitinos-logo.png,Y,N,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,3:30 PM,3:30 PM,3:30 PM,3:30 PM,3:30 PM,3:30 PM,3:30 PM
JFK,Dunkin',,Food,Coffee/Tea; Breakfast; Sandwich,1,Grab n Go,,4,,33,Y,Y,,jfk-dunkin-logo.png,Y,Y,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,5:00 AM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM
JFK,Buffalo Wild Wings,,Food,American; Bar; Burger,2,Sit Down,,4,,26,Y,Y,,jfk-bww-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,8:00 PM
