retailerUniqueId,locationUniqueId,isDeliveryLocationNotAvailable,isPickupLocationNotAvailable
8ab167a16304d35559cbc5d47140ed90,f47d916f242d02d1369470ec79d54621,Y,Y
8ab167a16304d35559cbc5d47140ed90,af2696f7e171ddb18cd970903290fd38,Y,Y
8ab167a16304d35559cbc5d47140ed90,a87827c59a521681633cd2741044df54,Y,Y
8ab167a16304d35559cbc5d47140ed90,79adc412d85e220ee98808b5cf139650,Y,Y
8ab167a16304d35559cbc5d47140ed90,b3db55ce7ec9ca8b0670a6b5da9dff77,Y,Y
8ab167a16304d35559cbc5d47140ed90,dab831bb6232369e5b636b6ac395439f,Y,Y
8ab167a16304d35559cbc5d47140ed90,8677c5931caccb37f6571b8b02dbd899,Y,Y
8ab167a16304d35559cbc5d47140ed90,5b17bf09df8e63bd2abcc9e3d0d7af79,Y,Y
8ab167a16304d35559cbc5d47140ed90,7a6549552d7b8bdb1dee863f64396a3a,Y,Y
8ab167a16304d35559cbc5d47140ed90,9081f5e4894916bb52e1eac6ca0ddf94,Y,Y
8ab167a16304d35559cbc5d47140ed90,2ba39a78865903e31a21d0f3173aa151,Y,Y
8ab167a16304d35559cbc5d47140ed90,b40e62726d6afcee1fae1622ab4b96b8,Y,Y
8ab167a16304d35559cbc5d47140ed90,c8c7cd1714f6c69aaae522a0260fb0e6,Y,Y
8ab167a16304d35559cbc5d47140ed90,6e0c8f39c5968b07b3a723b964d87bdb,Y,Y
8ab167a16304d35559cbc5d47140ed90,25024d8adf11a807abf2ed6a6cef8c54,Y,Y
8ab167a16304d35559cbc5d47140ed90,30fe99ffef5675ad454ee8c55801eb50,Y,Y
8ab167a16304d35559cbc5d47140ed90,b692b460a2321482266c48d593fa045a,Y,Y
8ab167a16304d35559cbc5d47140ed90,0534f4d68675fe5b217f13023e48deea,Y,Y
8ab167a16304d35559cbc5d47140ed90,eda1c11f6c6808076b33b06bb0311845,Y,Y
8ab167a16304d35559cbc5d47140ed90,37f3ecaf2d177e5e5edfed5034ecef2f,Y,Y
8ab167a16304d35559cbc5d47140ed90,fbf07d048e1912650ef91925d9470dde,Y,Y
8ab167a16304d35559cbc5d47140ed90,8c59e481fd39acef1dd319d7f7c6c0df,Y,Y
8ab167a16304d35559cbc5d47140ed90,06cdaa4d050a4b15fc054cf998e21d2f,Y,Y
8ab167a16304d35559cbc5d47140ed90,fcb868cd7eb84275e0296c29ea98704a,Y,Y
8ab167a16304d35559cbc5d47140ed90,5b1a37e76ff8065ace15ac14dae87886,Y,Y
8ab167a16304d35559cbc5d47140ed90,7264b199c11df3b011259e47227b1998,Y,Y
8ab167a16304d35559cbc5d47140ed90,98ab9307fd30a88c46ffe17cc56cd42c,Y,Y
8ab167a16304d35559cbc5d47140ed90,50c964de83bfb8ddbf914145411909a2,Y,Y
8ab167a16304d35559cbc5d47140ed90,737962c1bfed7a1ad714d49bb6db5e82,Y,Y
8ab167a16304d35559cbc5d47140ed90,43506ad2a18cab9aa1851d202ada4701,Y,Y
8ab167a16304d35559cbc5d47140ed90,c7114d984615cac6da6488099bc75466,Y,Y
8ab167a16304d35559cbc5d47140ed90,f91a115cf358089343eded69888c8908,Y,Y
8ab167a16304d35559cbc5d47140ed90,6c0413a3961a5181aa0ed8dc99a2b82f,Y,Y
8ab167a16304d35559cbc5d47140ed90,dafdfbe732872e733e561fb3877494db,Y,Y
8ab167a16304d35559cbc5d47140ed90,8d69e1dd308265feb60707c0645f7a6f,Y,Y
8ab167a16304d35559cbc5d47140ed90,03a0ec0b6b331ccc6ebc54f9dcc45561,Y,Y
8ab167a16304d35559cbc5d47140ed90,95bac04257a2861e1d4d548973fea11e,Y,Y
8ab167a16304d35559cbc5d47140ed90,9cabddad942d283af83d32e1c2c96c8f,Y,Y
8ab167a16304d35559cbc5d47140ed90,786b5637080364414bdc0d8236250ee2,Y,Y
8ab167a16304d35559cbc5d47140ed90,75178c237c30c66cc3cddcccb982f00f,Y,Y
8ab167a16304d35559cbc5d47140ed90,ac0608dd44ddc4c968923633bec058bb,Y,Y
8ab167a16304d35559cbc5d47140ed90,03912d9415d3cb749ce187ea3eb54595,Y,Y
8ab167a16304d35559cbc5d47140ed90,7df5b2095bf18d85f56abdf9766da676,Y,Y
8ab167a16304d35559cbc5d47140ed90,40c29888aa54f93367715140555f6fa6,Y,Y
8ab167a16304d35559cbc5d47140ed90,2aac54f6ca37d81d20edc02aeeead7a1,Y,Y
8ab167a16304d35559cbc5d47140ed90,ec064651b3be2f08e08e7aa946a20a0f,Y,Y
8ab167a16304d35559cbc5d47140ed90,192e0d94c6795d121274339ab9edf36d,Y,Y
8ab167a16304d35559cbc5d47140ed90,228aedc8c3e91ef9f33fab3b2b8d2440,Y,Y
8ab167a16304d35559cbc5d47140ed90,fcb1d502f425adc5c62177f025ad5f58,Y,Y
8ab167a16304d35559cbc5d47140ed90,57032a99929df8799def01b440b8e334,Y,Y
8ab167a16304d35559cbc5d47140ed90,ee038a34e73401406baca9bac3c73ae6,Y,Y
8ab167a16304d35559cbc5d47140ed90,ba8ffa1afc7fd8e175c95b9cbdbbfe14,Y,Y
e5a405a1c4d30efd17cd390a4e271252,f47d916f242d02d1369470ec79d54621,Y,Y
e5a405a1c4d30efd17cd390a4e271252,af2696f7e171ddb18cd970903290fd38,Y,Y
e5a405a1c4d30efd17cd390a4e271252,a87827c59a521681633cd2741044df54,Y,Y
e5a405a1c4d30efd17cd390a4e271252,79adc412d85e220ee98808b5cf139650,Y,Y
e5a405a1c4d30efd17cd390a4e271252,b3db55ce7ec9ca8b0670a6b5da9dff77,Y,Y
e5a405a1c4d30efd17cd390a4e271252,dab831bb6232369e5b636b6ac395439f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,8677c5931caccb37f6571b8b02dbd899,Y,Y
e5a405a1c4d30efd17cd390a4e271252,5b17bf09df8e63bd2abcc9e3d0d7af79,Y,Y
e5a405a1c4d30efd17cd390a4e271252,7a6549552d7b8bdb1dee863f64396a3a,Y,Y
e5a405a1c4d30efd17cd390a4e271252,9081f5e4894916bb52e1eac6ca0ddf94,Y,Y
e5a405a1c4d30efd17cd390a4e271252,2ba39a78865903e31a21d0f3173aa151,Y,Y
e5a405a1c4d30efd17cd390a4e271252,b40e62726d6afcee1fae1622ab4b96b8,Y,Y
e5a405a1c4d30efd17cd390a4e271252,c8c7cd1714f6c69aaae522a0260fb0e6,Y,Y
e5a405a1c4d30efd17cd390a4e271252,6e0c8f39c5968b07b3a723b964d87bdb,Y,Y
e5a405a1c4d30efd17cd390a4e271252,25024d8adf11a807abf2ed6a6cef8c54,Y,Y
e5a405a1c4d30efd17cd390a4e271252,30fe99ffef5675ad454ee8c55801eb50,Y,Y
e5a405a1c4d30efd17cd390a4e271252,b692b460a2321482266c48d593fa045a,Y,Y
e5a405a1c4d30efd17cd390a4e271252,0534f4d68675fe5b217f13023e48deea,Y,Y
e5a405a1c4d30efd17cd390a4e271252,eda1c11f6c6808076b33b06bb0311845,Y,Y
e5a405a1c4d30efd17cd390a4e271252,37f3ecaf2d177e5e5edfed5034ecef2f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,fbf07d048e1912650ef91925d9470dde,Y,Y
e5a405a1c4d30efd17cd390a4e271252,8c59e481fd39acef1dd319d7f7c6c0df,Y,Y
e5a405a1c4d30efd17cd390a4e271252,06cdaa4d050a4b15fc054cf998e21d2f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,fcb868cd7eb84275e0296c29ea98704a,Y,Y
e5a405a1c4d30efd17cd390a4e271252,5b1a37e76ff8065ace15ac14dae87886,Y,Y
e5a405a1c4d30efd17cd390a4e271252,7264b199c11df3b011259e47227b1998,Y,Y
e5a405a1c4d30efd17cd390a4e271252,98ab9307fd30a88c46ffe17cc56cd42c,Y,Y
e5a405a1c4d30efd17cd390a4e271252,50c964de83bfb8ddbf914145411909a2,Y,Y
e5a405a1c4d30efd17cd390a4e271252,737962c1bfed7a1ad714d49bb6db5e82,Y,Y
e5a405a1c4d30efd17cd390a4e271252,43506ad2a18cab9aa1851d202ada4701,Y,Y
e5a405a1c4d30efd17cd390a4e271252,c7114d984615cac6da6488099bc75466,Y,Y
e5a405a1c4d30efd17cd390a4e271252,f91a115cf358089343eded69888c8908,Y,Y
e5a405a1c4d30efd17cd390a4e271252,6c0413a3961a5181aa0ed8dc99a2b82f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,dafdfbe732872e733e561fb3877494db,Y,Y
e5a405a1c4d30efd17cd390a4e271252,8d69e1dd308265feb60707c0645f7a6f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,03a0ec0b6b331ccc6ebc54f9dcc45561,Y,Y
e5a405a1c4d30efd17cd390a4e271252,95bac04257a2861e1d4d548973fea11e,Y,Y
e5a405a1c4d30efd17cd390a4e271252,9cabddad942d283af83d32e1c2c96c8f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,786b5637080364414bdc0d8236250ee2,Y,Y
e5a405a1c4d30efd17cd390a4e271252,75178c237c30c66cc3cddcccb982f00f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,ac0608dd44ddc4c968923633bec058bb,Y,Y
e5a405a1c4d30efd17cd390a4e271252,03912d9415d3cb749ce187ea3eb54595,Y,Y
e5a405a1c4d30efd17cd390a4e271252,7df5b2095bf18d85f56abdf9766da676,Y,Y
e5a405a1c4d30efd17cd390a4e271252,40c29888aa54f93367715140555f6fa6,Y,Y
e5a405a1c4d30efd17cd390a4e271252,2aac54f6ca37d81d20edc02aeeead7a1,Y,Y
e5a405a1c4d30efd17cd390a4e271252,ec064651b3be2f08e08e7aa946a20a0f,Y,Y
e5a405a1c4d30efd17cd390a4e271252,192e0d94c6795d121274339ab9edf36d,Y,Y
e5a405a1c4d30efd17cd390a4e271252,228aedc8c3e91ef9f33fab3b2b8d2440,Y,Y
e5a405a1c4d30efd17cd390a4e271252,fcb1d502f425adc5c62177f025ad5f58,Y,Y
e5a405a1c4d30efd17cd390a4e271252,57032a99929df8799def01b440b8e334,Y,Y
e5a405a1c4d30efd17cd390a4e271252,ee038a34e73401406baca9bac3c73ae6,Y,Y
e5a405a1c4d30efd17cd390a4e271252,ba8ffa1afc7fd8e175c95b9cbdbbfe14,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,f47d916f242d02d1369470ec79d54621,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,af2696f7e171ddb18cd970903290fd38,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,a87827c59a521681633cd2741044df54,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,79adc412d85e220ee98808b5cf139650,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,b3db55ce7ec9ca8b0670a6b5da9dff77,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,dab831bb6232369e5b636b6ac395439f,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,8677c5931caccb37f6571b8b02dbd899,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,5b17bf09df8e63bd2abcc9e3d0d7af79,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,7a6549552d7b8bdb1dee863f64396a3a,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,9081f5e4894916bb52e1eac6ca0ddf94,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,2ba39a78865903e31a21d0f3173aa151,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,b40e62726d6afcee1fae1622ab4b96b8,Y,Y
43b10840be79c5f2ca13e5ee0a9430ec,c8c7cd1714f6c69aaae522a0260fb0e6,Y,Y
