itemCategoryName,itemSecondCategoryName,itemThirdCategoryName,itemPOSName,itemDisplayName,itemDisplayDescription,itemId,itemPrice,priceLevelId,isActive,uniqueRetailerId,uniqueId,itemImageURL,itemTags,itemDisplaySequence,taxCategory,allowedThruSecurity,version
Entrees,Entrees,Entrees,2 Tacos,2 Tacos,"""Soft tortillas stuffed with your favorite meat and toppings.""",1,959,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_1,salsaritas-tacos.png,taco; spicy,1,,Y,
Entrees,Entrees,Entrees,Burrito,Burrito,"""Soft tortilla packed with your choice of meat and toppings.""",2,1099,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_2,salsaritas-burrito.png,burrito; spicy,2,,Y,
Entrees,Entrees,Entrees,Quesorito,Quesorito,"""It’s everyone’s favorite-a burrito stuffed with your favorite fillings and covered with Salsarita’s creamy queso.""",3,1299,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_3,salsaritas-quesorito.png,burrito; spicy,3,,Y,
Entrees,Entrees,Entrees,Quesadilla,Quesadilla,"""A quesadilla takes all your favorite fillings and lovingly heats them with cheese in a folded soft tortilla.""",4,989,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_4,salsaritas-quesadilla.png,quesadilla; spicy,4,,Y,
Entrees,Entrees,Entrees,Nachos,Nachos,"""We smother our wildly addictive tortilla chips in creamy queso and pile it high with your choice of fresh toppings and meat.""",5,899,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_5,salsaritas-nachos.png,nacho; spicy,5,,Y,
Entrees,Entrees,Entrees,Burrito Bowl,Burrito Bowl,"""Lose the tortilla, and fill up a bowl with your favorite burrito ingredients.""",6,1099,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_6,salsaritas-beef-burrito-bowl.png,burrito; spicy,6,,Y,
Entrees,Entrees,Entrees,Taco Salad,Taco Salad,"""Start with a crunchy taco shell filled with Romaine lettuce and pile on your favorite, fresh ingredients. Ditch the shell for a healthier meal!""",7,999,99,Y,3190d7f8d686654312a2a778833f2eaf,ewr_salsaritas_b_presecurity_item_7,salsaritas-taco-salad-bowl.png,taco; salad; spicy,7,,Y,
