,-1,-2,-3,-4,-5,42,43,44,45,46,47,-6,58,59,48,49,57,56,54,55,53,51,52,50
-1,,1,,,,,,,,,,,,,,,,,,,,,,
-2,1,,7,,,,,,,,,,,,,,,,,,,,,
-3,,7,,13,,,,,,,,,,,,,,,,,,,,
-4,,,13,,1,,,,,,,,,,,,,,,,,,,
-5,,,,1,,6,,,,,,,,,,,,,,,,,,
42,,,,,6,,2.5,,,,,,,,,,,,,,,,,
43,,,,,,2.5,,1,,,,,,,,,,,,,,,,
44,,,,,,,1,,1,,,,,,,,,,,,,,,
45,,,,,,,,1,,1,,,,,,,,,,,,,,
46,,,,,,,,,1,,1,,,,,,,,,,,,,
47,,,,,,,,,,1,,2.5,,,,,,,,,,,,
-6,,,,,,,,,,,2.5,,4,,,,,,,,,,,
58,,,,,,,,,,,,4,,2.5,,,,,,,,,,
59,,,,,,,,,,,,,2.5,,1,,,,,,,,,
48,,,,,,,,,,,,,,1,,6,,,,,,,,
49,,,,,,,,,,,,,,,6,,1.5,,,,,,,
57,,,,,,,,,,,,,,,,1.5,,1,,,,,,
56,,,,,,,,,,,,,,,,,1,,2.5,,,,,
54,,,,,,,,,,,,,,,,,,2.5,,1,,,,
55,,,,,,,,,,,,,,,,,,,1,,1,,,
53,,,,,,,,,,,,,,,,,,,,1,,1,,
51,,,,,,,,,,,,,,,,,,,,,1,,1,
52,,,,,,,,,,,,,,,,,,,,,,1,,1
50,,,,,,,,,,,,,,,,,,,,,,,1,
