 ,-1,30,31,29,28,26,27,25,24
-1,,1,,,,,,,
30,1,,1,,,,,,
31,,1,,1,,,,,
29,,,1,,4,,,,
28,,,,4,,1,,,
26,,,,,1,,1,,
27,,,,,,1,,1,
25,,,,,,,1,,1.5
24,,,,,,,,1.5,
