airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
WMI,A,Terminal A,A1,Gates 23-24,23,23/24,Gates 23/24,1,52.283900106232856; 20.927416840453645,N,Y,50,N,N,0
WMI,A,Terminal A,A1,Gates 23-24,24,23/24,Gates 23/24,2,52.283900106232856; 20.927416840453645,N,Y,50,N,N,0
