,-3,-1,-2,40,41,42,44,45,46,47
-3,,8,,,,,,,,
-1,8,,1.5,,,,,,,
-2,,1.5,,4,,,,,,
40,,,4,,1,,,,,
41,,,,1,,1,,,,
42,,,,,1,,2,,,
44,,,,,,2,,1,,
45,,,,,,,1,,1,
46,,,,,,,,1,,1
47,,,,,,,,,1,
