airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
EWR,B,Terminal B,B1,Gates 40-47,46,B46,Gate 46,6,40.68803417001415; -74.17704766163284,N,Y,50,N,N,0
EWR,B,Terminal B,B1,Gates 40-47,47,B47,Gate 47,7,40.68803410850132; -74.17704769875363,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,-1,B2-TSA (Post-Security),TSA (Post-Security),5,40.690609051929925; -74.17728351071594,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,51,B51,Gate 51,1,40.68995599715075; -74.17548471247486,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,52,B52/53,Gates 52/53,2,40.689954806676724; -74.1754844123109,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,54,B54/55,Gates 54/55,3,40.689956005192265; -74.17548922184776,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,56,B56/57,Gates 56/57,4,40.68995638907816; -74.17549047481519,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,63,B63,Gate 63,2,40.6919407463132; -74.17411695482332,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,62,B62,Gate 62,1,40.6919406859508; -74.17411710890778,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,64,B64/65,Gate 64/65,3,40.69194040725339; -74.17411779665518,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,66,B66/67,Gates 66/67,4,40.69194033685887; -74.174117970027,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,68,B68,Gate 68,5,40.69194031413499; -74.17411802595649,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,-1,B3-America,America (B3),6,40.69190342364577; -74.17420844850916,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,-2,B3-InMotion,InMotion (B3),7,40.69178185259652; -74.17450661254426,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,-3,B3-TSA (Post-Security),TSA (Post-Security),8,40.69060903694229; -74.17728364412554,N,Y,50,N,N,0
EWR,B,Terminal B,Pre,Employee,-15,B-Food Court,Food Court,1,40.690244; -74.176777,N,N,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-1,B-Building 74,Building 74,9,40.693983350486995; -74.17723293140018,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-2,B-Intl Arrivals,Intl Arrivals,14,40.690608969999985; -74.17728423999998,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-3,B-CBP Office,CBP Office,10,40.690608969999985; -74.17728423999998,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-4,B-AYG Office,AYG Office,4,40.690608971532015; -74.17728422636289,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-5,B-Airline Services Desk,Airline Services Desk,2,40.6906089700209; -74.17728423981391,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-6,B-Spirit Tix Counter,Spirit Tix Counter,18,40.69060896970989; -74.17728424258199,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-7,B-Bravo Desk,Bravo Desk,8,40.69060896970989; -74.17728424258199,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-8,B-Global Entry,Global Entry,13,40.690625755461866; -74.17727649673802,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-9,B-DL Baggage,DL Baggage Office,11,40.690650963696186; -74.17726486303015,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-10,B-SIDA Office,SIDA Office,17,40.69036095907143; -74.17959599980243,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre,Employee,-11,B-DL Tix Counter (Domestic),DL Tix Counter (Domestic),12,40.69041512848329; -74.1790096840281,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-12,B-LH Tix Counter,LH Tix Counter,15,40.69060897243681; -74.17728421830907,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-13,B-Relax & Recharge,Relax & Recharge,16,40.690608969635186; -74.1772842432472,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre,Employee,-14,B-Airtrain Entrance,Airtrain Entrance,3,40.69060896998421; -74.17728424014042,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre,Employee,-16,B1-TSA Podium,B1 TSA Podium,5,40.689355; -74.177634,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre,Employee,-17,B2-TSA Podium,B2 TSA Podium,6,40.690240; -74.176357,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre,Employee,-18,B3-TSA Podium,B3 TSA Podium,7,40.691802; -74.175477,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre,Pre-Security,-1,C-Airtrain Entrance,Airtrain Entrance,1,40.695327970145236; -74.17784150355767,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-2,C3-Exit Lane,C3 Exit Lane,5,40.695327816173496; -74.17784127260009,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre,Pre-Security,-3,C-UA Tix (L3 D3),UA Tix (L3 D3),13,40.69532776743429; -74.17784119949127,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-4,C-UA Tix (L3 D1),UA Tix (L3 D1),12,40.695327758884545; -74.17784118666667,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-5,C-UA Recruiting Office,UA Recruiting Office,15,40.69532325408171; -74.1778344294636,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-6,C1-Exit Lane,C1 Exit Lane,3,40.695332212911595; -74.17784786770656,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre,Pre-Security,-7,C-Starbucks (Pre-Security L2),Starbucks (Pre-L2),8,40.69531717112916; -74.17782533399294,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-8,C-UA Tix (L2 D1),UA Tix (L2 D1),9,40.6951474876167; -74.17757078423287,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-9,C-ABM Office,ABM Office,2,40.69514464883625; -74.17756652164196,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-10,C-UA Tix (L2 D2),UA Tix (L2 D2),10,40.69514534538224; -74.17756756874006,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-11,C-UA Tix (L2 D3),UA Tix (L2 D3),11,40.69514470733832; -74.17756661011589,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-12,C-United Office (L2 D5),UA Office (L2 D5),14,40.69514693071706; -74.17755346322319,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-13,C-Carousel 9,Carousel 9,6,40.69514539596654; -74.17756226790418,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre,Pre-Security,-14,C-Clear Office,Clear Office,7,40.69514460526777; -74.17756680398857,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre,Pre-Security,-15,C2-TSA Lane 19,C2 TSA Lane 19,4,40.69532816632256; -74.17784179782362,N,Y,50,Y,Y,0
EWR,P3,P3,Car,Car Rental Counters,-1,P3-Enterprise Counter,Enterprise Counter,1,40.68985810037086; -74.18593210746273,N,Y,50,Y,Y,0
EWR,P3,P3,Car,Car Rental Counters,-2,P3-Hertz Counter,Hertz Counter,2,40.68985810037086; -74.18593210746273,N,Y,50,Y,Y,0
EWR,P3,P3,Car,Car Rental Counters,-3,P3-Avis Counter,Avis Counter,3,40.68985810037086; -74.18593210746273,N,Y,50,Y,Y,0
EWR,P3,P3,Car,Car Rental Counters,-4,P3-National Counter,National Counter,4,40.68985810037086; -74.18593210746273,N,Y,50,Y,Y,0
EWR,P3,P3,Car,Car Rental Counters,-5,P3-Alamo Counter,Alamo Counter,5,40.68985810037086; -74.18593210746273,N,Y,50,Y,Y,0
EWR,P4,P4 ,Daily,Daily Parking Garage,-1,P4-Valet Desk,Valet Desk,1,40.69441987213865; -74.1817245424147,N,Y,50,Y,Y,0
