,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13
-1,,,,,,,,,,,,,
-2,9.5,,,,,,,,,,,,
-3,,2,,,,,,,,,,,
-4,,,6,,,,,,,,,,
-5,,,,0.5,,,,,,,,,
-6,,,,,3.5,,,,,,,,
-7,,,,,,4,,,,,,,
-8,,,,,,,2.5,,,,,,
-9,,,,,,,,2.5,,,,,
-10,,,,,,,,,3.5,,,,
-11,,,,,,,,,,3,,,
-12,,,,,,,,,,,9.5,,
-13,,,,,,,,,,,,11,
-14,,,,,,,,,,,,,4.5
