itemCategoryName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Sauce,Sauce,,31,0,0,N,Y,den_mcdonalds_b_2_item_22,den_mcdonalds_b_2_item_22_mod_3,3,
Choose Meal Size,Choose Meal Size,,32,1,1,Y,Y,den_mcdonalds_b_2_item_23,den_mcdonalds_b_2_item_23_mod_1,1,
Customize,Customize,,33,0,0,N,Y,den_mcdonalds_b_2_item_23,den_mcdonalds_b_2_item_23_mod_2,2,
Choose Drink,Choose Drink,,34,1,1,Y,Y,den_mcdonalds_b_2_item_23,den_mcdonalds_b_2_item_23_mod_3,3,
Sauce,Sauce,,35,0,0,N,Y,den_mcdonalds_b_2_item_23,den_mcdonalds_b_2_item_23_mod_4,4,
Customize,Customize,,36,0,0,N,Y,den_mcdonalds_b_2_item_24,den_mcdonalds_b_2_item_24_mod_1,1,
Choose Second Side,Choose Second Side,,37,1,1,Y,Y,den_mcdonalds_b_2_item_24,den_mcdonalds_b_2_item_24_mod_2,2,
Choose Drink,Choose Drink,,38,1,1,Y,Y,den_mcdonalds_b_2_item_24,den_mcdonalds_b_2_item_24_mod_3,3,
Customize,Customize,,39,0,0,N,Y,den_mcdonalds_b_2_item_25,den_mcdonalds_b_2_item_25_mod_1,1,
Choose Second Side,Choose Second Side,,40,1,1,Y,Y,den_mcdonalds_b_2_item_25,den_mcdonalds_b_2_item_25_mod_2,2,
Choose Drink,Choose Drink,,41,1,1,Y,Y,den_mcdonalds_b_2_item_25,den_mcdonalds_b_2_item_25_mod_3,3,
Choose Second Side,Choose Second Side,,42,1,1,Y,Y,den_mcdonalds_b_2_item_26,den_mcdonalds_b_2_item_26_mod_1,1,
Choose Drink,Choose Drink,,43,1,1,Y,Y,den_mcdonalds_b_2_item_26,den_mcdonalds_b_2_item_26_mod_2,2,
Sauce,Sauce,,44,0,0,N,Y,den_mcdonalds_b_2_item_26,den_mcdonalds_b_2_item_26_mod_3,3,
Choose Second Side,Choose Second Side,,45,1,1,Y,Y,den_mcdonalds_b_2_item_27,den_mcdonalds_b_2_item_27_mod_1,1,
Choose Drink,Choose Drink,,46,1,1,Y,Y,den_mcdonalds_b_2_item_27,den_mcdonalds_b_2_item_27_mod_2,2,
Sauce,Sauce,,47,0,0,N,Y,den_mcdonalds_b_2_item_27,den_mcdonalds_b_2_item_27_mod_3,3,
Customize,Customize,,48,0,0,N,Y,den_mcdonalds_b_2_item_28,den_mcdonalds_b_2_item_28_mod_1,1,
Sauce,Sauce,,49,0,0,N,Y,den_mcdonalds_b_2_item_28,den_mcdonalds_b_2_item_28_mod_2,2,
Customize,Customize,,50,0,0,N,Y,den_mcdonalds_b_2_item_29,den_mcdonalds_b_2_item_29_mod_1,1,
Sauce,Sauce,,51,0,0,N,Y,den_mcdonalds_b_2_item_29,den_mcdonalds_b_2_item_29_mod_2,2,
Customize,Customize,,52,0,0,N,Y,den_mcdonalds_b_2_item_30,den_mcdonalds_b_2_item_30_mod_1,1,
Sauce,Sauce,,53,0,0,N,Y,den_mcdonalds_b_2_item_30,den_mcdonalds_b_2_item_30_mod_2,2,
Customize,Customize,,54,0,0,N,Y,den_mcdonalds_b_2_item_31,den_mcdonalds_b_2_item_31_mod_1,1,
Sauce,Sauce,,55,0,0,N,Y,den_mcdonalds_b_2_item_31,den_mcdonalds_b_2_item_31_mod_2,2,
Customize,Customize,,56,0,0,N,Y,den_mcdonalds_b_2_item_32,den_mcdonalds_b_2_item_32_mod_1,1,
Sauce,Sauce,,57,0,0,N,Y,den_mcdonalds_b_2_item_32,den_mcdonalds_b_2_item_32_mod_2,2,
Customize,Customize,,58,0,0,N,Y,den_mcdonalds_b_2_item_33,den_mcdonalds_b_2_item_33_mod_1,1,
Sauce,Sauce,,59,0,0,N,Y,den_mcdonalds_b_2_item_33,den_mcdonalds_b_2_item_33_mod_2,2,
Customize,Customize,,60,0,0,N,Y,den_mcdonalds_b_2_item_34,den_mcdonalds_b_2_item_34_mod_1,1,
Sauce,Sauce,,61,0,0,N,Y,den_mcdonalds_b_2_item_34,den_mcdonalds_b_2_item_34_mod_2,2,
Customize,Customize,,62,0,0,N,Y,den_mcdonalds_b_2_item_35,den_mcdonalds_b_2_item_35_mod_1,1,
Sauce,Sauce,,63,0,0,N,Y,den_mcdonalds_b_2_item_35,den_mcdonalds_b_2_item_35_mod_2,2,
Customize,Customize,,64,0,0,N,Y,den_mcdonalds_b_2_item_36,den_mcdonalds_b_2_item_36_mod_1,1,
Sauce,Sauce,,65,0,0,N,Y,den_mcdonalds_b_2_item_36,den_mcdonalds_b_2_item_36_mod_2,2,
Sauce (x1),Sauce (x1),,66,0,0,N,Y,den_mcdonalds_b_2_item_37,den_mcdonalds_b_2_item_37_mod_1,1,
Sauce (x1),Sauce (x1),,67,0,0,N,Y,den_mcdonalds_b_2_item_38,den_mcdonalds_b_2_item_38_mod_1,1,
Sauce (x2),Sauce (x2),,68,0,0,N,Y,den_mcdonalds_b_2_item_39,den_mcdonalds_b_2_item_39_mod_1,1,
Sauce (x3),Sauce (x3),,69,0,0,N,Y,den_mcdonalds_b_2_item_40,den_mcdonalds_b_2_item_40_mod_1,1,
Sauce,Sauce,,70,0,0,N,N,den_mcdonalds_b_2_item_41,den_mcdonalds_b_2_item_41_mod_1,1,
Customize,Customize,,71,0,0,N,Y,den_mcdonalds_b_2_item_42,den_mcdonalds_b_2_item_42_mod_1,1,
Sauce,Sauce,,72,0,0,N,Y,den_mcdonalds_b_2_item_42,den_mcdonalds_b_2_item_42_mod_2,2,
Customize,Customize,,73,0,0,N,N,den_mcdonalds_b_2_item_43,den_mcdonalds_b_2_item_43_mod_1,1,
Sauce,Sauce,,74,0,0,N,N,den_mcdonalds_b_2_item_43,den_mcdonalds_b_2_item_43_mod_2,2,
Customize,Customize,,75,0,0,N,Y,den_mcdonalds_b_2_item_44,den_mcdonalds_b_2_item_44_mod_1,1,
Sauce,Sauce,,76,0,0,N,Y,den_mcdonalds_b_2_item_44,den_mcdonalds_b_2_item_44_mod_2,2,
Choose Size,Choose Size,,77,1,1,Y,Y,den_mcdonalds_b_2_item_45,den_mcdonalds_b_2_item_45_mod_1,1,
Customize,Customize,,78,0,0,N,Y,den_mcdonalds_b_2_item_45,den_mcdonalds_b_2_item_45_mod_2,2,
Sauce,Sauce,,79,0,0,N,Y,den_mcdonalds_b_2_item_45,den_mcdonalds_b_2_item_45_mod_3,3,
Customize,Customize,,80,0,0,N,N,den_mcdonalds_b_2_item_47,den_mcdonalds_b_2_item_47_mod_1,1,
Choose Size,Choose Size,,81,1,1,Y,Y,den_mcdonalds_b_2_item_52,den_mcdonalds_b_2_item_52_mod_1,1,
Add,Add,,82,0,0,N,Y,den_mcdonalds_b_2_item_52,den_mcdonalds_b_2_item_52_mod_2,2,
Choose Size,Choose Size,,83,1,1,Y,Y,den_mcdonalds_b_2_item_53,den_mcdonalds_b_2_item_53_mod_1,1,
Add,Add,,84,0,0,N,Y,den_mcdonalds_b_2_item_53,den_mcdonalds_b_2_item_53_mod_2,2,
Choose Size,Choose Size,,85,1,1,Y,Y,den_mcdonalds_b_2_item_54,den_mcdonalds_b_2_item_54_mod_1,1,
Add,Add,,86,0,0,N,Y,den_mcdonalds_b_2_item_54,den_mcdonalds_b_2_item_54_mod_2,2,
Choose Size,Choose Size,,87,1,1,Y,Y,den_mcdonalds_b_2_item_55,den_mcdonalds_b_2_item_55_mod_1,1,
Customize,Customize,,88,0,0,N,Y,den_mcdonalds_b_2_item_55,den_mcdonalds_b_2_item_55_mod_2,2,
Add,Add,,89,0,0,N,Y,den_mcdonalds_b_2_item_55,den_mcdonalds_b_2_item_55_mod_3,3,
