uniqueRetailerItemId,dayOfWeek,restrictOrderTimes,prepRestrictTimesGroup1,prepTimeCategoryIdGroup1,prepRestrictTimesGroup2,prepTimeCategoryIdGroup2,prepRestrictTimesGroup3,prepTimeCategoryIdGroup3,isActive
den_mcdonalds_b_2_item_9,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_9,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_10,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_11,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_12,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_13,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,1,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,2,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,3,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,4,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,5,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,6,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_14,7,5:00 AM - 10:30 AM,,,,,,,Y
den_mcdonalds_b_2_item_15,1,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,2,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,3,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,4,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,5,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,6,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_15,7,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,1,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,2,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,3,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,4,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,5,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,6,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_16,7,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,1,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,2,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,3,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,4,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,5,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,6,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_17,7,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,1,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,2,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,3,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,4,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,5,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,6,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_18,7,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_19,1,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_19,2,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_19,3,10:30 AM - 11:59 PM,,,,,,,Y
den_mcdonalds_b_2_item_19,4,10:30 AM - 11:59 PM,,,,,,,Y
