,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,-1,-2,-3,-4
30,,2,,,,,,,,,,,,,,,,,,
31,2,,1,,,,,,,,,,,,,,,,,
32,,1,,0.5,,,,,,,,,,,,,,,,
33,,,0.5,,2,,,,,,,,,,,,,,,
34,,,,2,,2.5,,,,,,,,,,,,,,
35,,,,,2.5,,3,,,,,,,,,,,,,
36,,,,,,3,,0.5,,,,,,,,,,,,
37,,,,,,,0.5,,2.5,,,,,,,,,,,
38,,,,,,,,2.5,,2,,,,,,,,,,
39,,,,,,,,,2,,1,,,,,,,,,
40,,,,,,,,,,1,,0.5,,,,,,,,
41,,,,,,,,,,,0.5,,1.5,,,,,,,
42,,,,,,,,,,,,1.5,,1.5,,,,,,
43,,,,,,,,,,,,,1.5,,2.5,,,,,
44,,,,,,,,,,,,,,2.5,,3,,,,
45,,,,,,,,,,,,,,,3,,12.5,,,
-1,,,,,,,,,,,,,,,,12.5,,8,,
-2,,,,,,,,,,,,,,,,,8,,21,
-3,,,,,,,,,,,,,,,,,,21,,2
-4,,,,,,,,,,,,,,,,,,,2,
