,62,64,65,66,67,68,69,70,71,72,73,74,75,-1,-2,-3,-4,-5,-6,-7,-8
62,,3,,,,,,,,,,,,,,,,,,,
64,3,,0.5,,,,,,,,,,,,,,,,,,
65,,0.5,,0.5,,,,,,,,,,,,,,,,,
66,,,0.5,,0.5,,,,,,,,,,,,,,,,
67,,,,0.5,,2,,,,,,,,,,,,,,,
68,,,,,2,,3.5,,,,,,,,,,,,,,
69,,,,,,3.5,,1,,,,,,,,,,,,,
70,,,,,,,1,,2,,,,,,,,,,,,
71,,,,,,,,2,,1,,,,,,,,,,,
72,,,,,,,,,1,,0.5,,,,,,,,,,
73,,,,,,,,,,0.5,,0.5,,,,,,,,,
74,,,,,,,,,,,0.5,,1.5,,,,,,,,
75,,,,,,,,,,,,1.5,,2,,,,,,,
-1,,,,,,,,,,,,,2,,2.5,,,,,,
-2,,,,,,,,,,,,,,2.5,,13.5,,,,,
-3,,,,,,,,,,,,,,,13.5,,2,,,,
-4,,,,,,,,,,,,,,,,2,,11.5,,,
-5,,,,,,,,,,,,,,,,,11.5,,5,,
-6,,,,,,,,,,,,,,,,,,5,,9,
-7,,,,,,,,,,,,,,,,,,,9,,4
-8,,,,,,,,,,,,,,,,,,,,4,
