airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
TPA,E,Terminal E,,,65,E65,Gate E65,3,27.98088569483874; -82.53831847349025,N,Y,50,N,N,0
TPA,E,Terminal E,,,66,E66,Gate E66,4,27.980927326812036; -82.5384214179153,N,Y,50,N,N,0
TPA,E,Terminal E,,,67,E67,Gate E67,5,27.980849160644844; -82.53842238001272,N,Y,50,N,N,0
TPA,E,Terminal E,,,68,E68,Gate E68,6,27.980412672633616; -82.53840007125491,N,Y,50,N,N,0
TPA,E,Terminal E,,,69,E69,Gate E69,7,27.980002602122127; -82.5384402700181,N,Y,50,N,N,0
TPA,E,Terminal E,,,70,E70,Gate E70,8,27.97976705167214; -82.53847408225509,N,Y,50,N,N,0
TPA,E,Terminal E,,,71,E71,Gate E71,9,27.979354404499517; -82.53845963401126,N,Y,50,N,N,0
TPA,E,Terminal E,,,72,E72,Gate E72,10,27.979199879404316; -82.53850190069568,N,Y,50,N,N,0
TPA,E,Terminal E,,,73,E73,Gate E73,11,27.979199879404316; -82.53843015160815,N,Y,50,N,N,0
TPA,E,Terminal E,,,74,E74,Gate E74,12,27.979272717117716; -82.53818942336117,N,Y,50,N,N,0
TPA,E,Terminal E,,,75,E75,Gate E75,13,27.979325420801807; -82.53789370981947,N,Y,50,N,N,0
TPA,E,Terminal E,,,-1,ASE - LVL 2 Spa Hallway ,LVL 2 Spa Hallway ,21,"27.980384543801986, -82.53807811608057",N,Y,50,N,N,0
TPA,E,Terminal E,,,-2,ASE - LVL 3 P&D Entrance,LVL 3 P&D Entrance,20,"27.979804215418135, -82.53805397619928",N,Y,50,N,N,0
TPA,E,Terminal E,,,-3,ASE - LVL 1 Delta Hallway ,LVL 1 Delta Hallway ,16,"27.980025095867095, -82.53834767808945",N,Y,50,N,N,0
TPA,E,Terminal E,,,-4,ASE - LVL 1 Center Hallway ,LVL 1 Center Hallway ,15,"27.97986165621586, -82.53793730010734",N,Y,50,N,N,0
TPA,E,Terminal E,,,-5,ASE - LVL 1 Delta Sky Club ,LVL 1 Delta Sky Club ,17,"27.980346052731214, -82.5381438302018",N,Y,50,N,N,0
TPA,E,Terminal E,,,-6,ASE - LVL 1 Air Canada Hallway,LVL 1 Air Canada Hallway,14,"27.979685188488258, -82.53831951489462",N,Y,50,N,N,0
TPA,E,Terminal E,,,-7,ASE - LVL 2 Flagship Breakroom ,LVL 2 Flagship Breakroom ,19,"27.9797260484946, -82.53796546330106",N,Y,50,N,N,0
TPA,E,Terminal E,,,-8,ASE - LVL 2 Elevator behind Potbelly ,LVL 2 Elevator behind Potbelly ,18,"27.9800262802149, -82.53831951489349",N,Y,50,N,N,0
TPA,F,Terminal F,,,77,F77,Gate F77,1,27.9770244185654; -82.53795425851449,N,Y,50,N,N,0
TPA,F,Terminal F,,,78,F78,Gate F78,2,27.97720807594266; -82.5381780638307,N,Y,50,N,N,0
TPA,F,Terminal F,,,79,F79,Gate F79,3,27.977237810917178; -82.53829887908991,N,Y,50,N,N,0
TPA,F,Terminal F,,,80,F80,Gate F80,4,27.977194083010634; -82.53838008278872,N,Y,50,N,N,0
