,77,78,79,80,81,82,83,84,85,86,87,88,89,90,-1,-2,-3,-4,-5
77,,2,,,,,,,,,,,,,,,,,
78,2,,0.5,,,,,,,,,,,,,,,,
79,,0.5,,1,,,,,,,,,,,,,,,
80,,,1,,0.5,,,,,,,,,,,,,,
81,,,,0.5,,2.5,,,,,,,,,,,,,
82,,,,,2.5,,0.5,,,,,,,,,,,,
83,,,,,,0.5,,2,,,,,,,,,,,
84,,,,,,,2,,1,,,,,,,,,,
85,,,,,,,,1,,2,,,,,,,,,
86,,,,,,,,,2,,3,,,,,,,,
87,,,,,,,,,,3,,1.5,,,,,,,
88,,,,,,,,,,,1.5,,0.5,,,,,,
89,,,,,,,,,,,,0.5,,56,,,,,
90,,,,,,,,,,,,,56,,43,,,,
-1,,,,,,,,,,,,,,43,,5.5,,,
-2,,,,,,,,,,,,,,,5.5,,9.5,,
-3,,,,,,,,,,,,,,,,9.5,,14,
-4,,,,,,,,,,,,,,,,,14,,27
-5,,,,,,,,,,,,,,,,,,27,
