modifierPOSName,modifierDisplayName,modifierDisplayDescription,modifierId,maxQuantity,minQuantity,isRequired,isActive,uniqueRetailerItemId,uniqueId,modifierDisplaySequence,version
Choose,Choose,,1,1,1,Y,Y,den_dcm_a_item_1,den_dcm_a_item_1_mod_1,1,
Protein,Protein,,2,1,1,Y,Y,den_dcm_a_item_15,den_dcm_a_item_15_mod_1,1,
