airportIataCode,retailerName,description,retailerType,retailerCategory,retailerPriceCategory,retailerFoodSeatingType,searchTags,terminal,concourse,gate,hasDelivery,hasPickup,imageBackground,imageLogo,isActive,isChain,openTimesMonday,openTimesTuesday,openTimesWednesday,openTimesThursday,openTimesFriday,openTimesSaturday,openTimesSunday,closeTimesMonday,closeTimesTuesday,closeTimesWednesday,closeTimesThursday,closeTimesFriday,closeTimesSaturday,closeTimesSunday
DEN,Denver Central Market,An assortment of dining experiences in one place,Food,American; Breakfast; Italian,2,Grab n Go,,A,,48,Y,Y,den-dcm-background.png,den-dcm-logo.png,Y,N,7:00 AM,8:00 AM,8:00 AM,7:00 AM,7:00 AM,8:00 AM,8:00 AM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM
DEN,Einstein Bagel Bros,"Traditional and specialty bagels and cream cheese spreads, Kosher Nova Lox and pizza bagels to hot and cold deli sandwiches, breakfast sandwiches and salads.",Food,Breakfast; Coffee/Tea,1,Grab n Go,,C,,-3,Y,Y,den-einstein-background.png,den-einstein-logo.png,Y,Y,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
DEN,Garbanzo Fresh Mediterranean,"A fast-casual restaurant chain that serves Middle Eastern staples like falafel, hummus and pita.",Food,Mediterranean,2,Grab n Go,,B,,-3,Y,Y,den-garbanzo-background.png,den-garbanzo-logo.png,Y,Y,11:00 AM,CLOSED,CLOSED,11:00 AM,11:00 AM,11:00 AM,11:00 AM,6:00 PM,CLOSED,CLOSED,6:00 PM,6:00 PM,6:00 PM,6:00 PM
DEN,McDonalds,"Serving a full range of items from the classic 100% beef Big Mac and other specialty hamburgers to grilled and fried chicken sandwiches, fish sandwich, specialty salads, snacks and sides, fruits, yogurt parfaits and Happy Meals.",Food,Fast Food,1,Grab n Go,,B,,-3,Y,Y,den-mcdonalds-background.png,den-mcdonalds-logo.png,Y,Y,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,10:00 AM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM,5:00 PM
DEN,Root Down,American Cuisine with a global spin. Organic & local whenever possible and specializing in gluten-free & vegan items.,Food,American,2,Sit Down,,C,,-3,Y,Y,den-rootdown-background.png,den-rootdown-logo.png,Y,N,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM
DEN,Timberline Steaks & Grille,"Organically raised natural beef and buffalo burgers, all natural chicken and USDA prime steaks, sandwiches and salads.",Food,American,3,Sit Down,,C,,-3,Y,Y,den-timberline-background.png,den-timberline-logo.png,Y,N,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM,9:00 PM
DEN,Vino Volo,"An elegant wine country food menu includes locally-produced artisan cheeses, dry-cured meats as well as pasta and sandwiches.",Food,American,2,Sit Down,,A,,49,Y,Y,den-vino-background.png,den-vino-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM
