airportIataCode,terminal,terminalDisplayName,concourse,concourseDisplayName,gate,locationDisplayName,gateDisplayName,displaySequence,geoPointLocation,isDefaultLocation,includeInGateMap,gpsRangeInMeters,isPresecurityLocation,requiresDeliveryInstructions,deliveryLimitedToPerHourOffset
EWR,B,Terminal B,B2,Gates 51-57,51,51,Gate 51,1,40.68995599715075; -74.17548471247486,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,52,52/53,Gates 52/53,2,40.689954806676724; -74.1754844123109,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,54,54/55,Gates 54/55,3,40.689956005192265; -74.17548922184776,N,Y,50,N,N,0
EWR,B,Terminal B,B2,Gates 51-57,56,56/57,Gates 56/57,4,40.68995638907816; -74.17549047481519,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,63,63,Gate 63,2,40.6919407463132; -74.17411695482332,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,62,62,Gate 62,1,40.6919406859508; -74.17411710890778,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,64,64/65,Gate 64/65,3,40.69194040725339; -74.17411779665518,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,66,66/67,Gates 66/67,4,40.69194033685887; -74.174117970027,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,68,68,Gate 68,5,40.69194031413499; -74.17411802595649,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,-1,America (B3),America (B3),6,40.69190342364577; -74.17420844850916,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,-2,InMotion (B3),InMotion (B3),7,40.69178185259652; -74.17450661254426,N,Y,50,N,N,0
EWR,B,Terminal B,B3,Gates 63-68,0,TSA Checkpoint (B3),TSA Checkpoint (B3),8,40.69060903694229; -74.17728364412554,Y,Y,50,N,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-1,Building 74,Building 74,13,40.693983350486995; -74.17723293140018,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-2,International Arrivals,International Arrivals,12,40.690608969999985; -74.17728423999998,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-3,CBP Office,CBP Office,11,40.690608969999985; -74.17728423999998,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-4,AtYourGate Office,AtYourGate Office,14,40.690608971532015; -74.17728422636289,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-5,Airline Services Desk,Airline Services Desk,10,40.6906089700209; -74.17728423981391,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-6,Spirit Ticket Counter,Spirit Ticket Counter,9,40.69060896970989; -74.17728424258199,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-7,Bravo Desk,Bravo Desk,8,40.69060896970989; -74.17728424258199,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-8,Global Entry,Global Entry,7,40.690625755461866; -74.17727649673802,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-9,Delta Baggage,Delta Baggage,6,40.690650963696186; -74.17726486303015,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-10,Security ID Office,Security ID Office,5,40.69036095907143; -74.17959599980243,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-11,Delta Ticket Counter (Domestic),Delta Ticket Counter (Domestic),4,40.69041512848329; -74.1790096840281,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-12,Lufthansa Ticket Counter,Lufthansa Ticket Counter,3,40.69060897243681; -74.17728421830907,N,Y,50,Y,N,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-13,Relax & Recharge,Relax & Recharge,2,40.690608969635186; -74.1772842432472,N,Y,50,Y,Y,0
EWR,B,Terminal B,Pre-Security,Pre-Security,-14,Airtrain Entrance,Airtrain Entrance,1,40.69060896998421; -74.17728424014042,Y,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-1,Airtrain Entrance,Airtrain Entrance,1,40.695327970145236; -74.17784150355767,Y,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-2,Exit Lane (C3),Exit Lane (C3),4,40.695327816173496; -74.17784127260009,N,Y,50,Y,Y,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-3,UA Ticket (L3 D3),UA Ticket (L3 D3),14,40.69532776743429; -74.17784119949127,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-4,UA Ticket (L3 D1),UA Ticket (L3 D1),13,40.695327758884545; -74.17784118666667,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-5,United Recruiting Office,United Recruiting Office,9,40.69532325408171; -74.1778344294636,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-6,TSA Exit Lane (C1),TSA Exit Lane (C1),2,40.695332212911595; -74.17784786770656,N,Y,50,Y,N,0
EWR,C,Terminal C,Pre-Security,Pre-Security,-7,Starbucks (Pre-Security L2),Starbucks (Pre-Security L2),8,40.69531717112916; -74.17782533399294,N,Y,50,Y,N,0
