,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
-1,,6.5,,,,,,,,,,
-2,6.5,,2.5,,,,,,,,,
-3,,2.5,,10.5,,,,,,,,
-4,,,10.5,,0.5,,,,,,,
-5,,,,0.5,,2,,,,,,
-6,,,,,2,,1.5,,,,,
-7,,,,,,1.5,,10.5,,,,
-8,,,,,,,10.5,,4,,,
-9,,,,,,,,4,,5.5,,
-10,,,,,,,,,5.5,,3.5,
-11,,,,,,,,,,3.5,,3
-12,,,,,,,,,,,3,
