airportIataCode,retailerName,description,retailerType,retailerCategory,retailerPriceCategory,retailerFoodSeatingType,searchTags,terminal,concourse,gate,hasDelivery,hasPickup,imageBackground,imageLogo,isActive,isChain,openTimesMonday,openTimesTuesday,openTimesWednesday,openTimesThursday,openTimesFriday,openTimesSaturday,openTimesSunday,closeTimesMonday,closeTimesTuesday,closeTimesWednesday,closeTimesThursday,closeTimesFriday,closeTimesSaturday,closeTimesSunday
EWR,"""Dunkin'""","""Dunkin' is the world's leading baked goods and coffee chain. We offer 50+ varieties of donuts, but you can also enjoy dozens of premium beverages, bagels, breakfast sandwiches and other baked goods.""",Food,Coffee/Tea;Fast Food,1,Food Court,Bagel; Pastries; Egg; Sandwich; Sweet; Latte,A,A1,0,Y,Y,dunkin-donuts.jpg,dunkin-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,CLOSED,CLOSED
EWR,"""Salsarita's""","“At Salsarita’s, we do Mexican right. Ingredients like salsas, guacamole, and tortilla chips made fresh all day, every day. We flame grill choice steak and chicken and offer options like shrimp and more toppings. It’s why we are almost always the locals’ choice for “Best Mexican Food.””",Food,Coffee/Tea; Fast Food,1,Food Court,Tex-Mex; Taco; Burrito; Salad; Salsa; Chips; Spicy,B,Pre-Security,-11,Y,Y,salsaritas-tacos.jpg,salsaritas-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,CLOSED,CLOSED
EWR,"""Jersey Mike's""","""At Jersey Mike’s, we offer a sub above – one that’s measured in more than inches or seconds ‘til served. We carefully consider every aspect of what we do – every slice, every sandwich, every store – we provide our customers with sustenance and substance too.""",Food,Coffee/Tea; Fast Food,1,Food Court,Hoagie; Grinder; Sub; Chips; Turkey; Bread,A,A2,0,Y,Y,jerseymikes-turkey.jpg,jersey mikes-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,CLOSED,CLOSED
EWR,"""Tony + Benny's""","""Authentic Brooklyn-style pizza with a variety of pies & slices, plus pasta & other Italian staples inspired by old-world recipes made from fresh high-quality ingredients.""",Food,Coffee/Tea; Fast Food,1,Food Court,Pasta; Garlic; Salad,B,B2,0,Y,Y,,tonybennys-logo.jpg,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,6:00 PM,6:00 PM,6:00 PM,6:00 PM,6:00 PM,CLOSED,CLOSED
EWR,Villa Italian Kitchen,"“Authentic old-world recipes brought from Naples, Italy to New York City. Villa’s commitment to hospitality and quality ingredients like homemade dough, 100% whole milk mozzarella and fresh sauce and the strict loyalty to those now famous recipes that built the business.”",Food,Coffee/Tea; Fast Food,1,Food Court,Pasta; Garlic; Salad,A,A2,0,Y,Y,,villa-logo.png,Y,Y,11:00 AM,11:00 AM,11:00 AM,11:00 AM,11:00 AM,CLOSED,CLOSED,4:00 PM,4:00 PM,4:00 PM,4:00 PM,4:00 PM,CLOSED,CLOSED
