fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
F,,C,,1,1,20,N,
F,,A,,1,-1,66,N,
F,,B,,1,2,72,N,
F,,k-IH,,1,-1,71,N,
F,,PO,,1,-1,81,N,
F,,SR,,1,-1,44,N,
F,,TC,,1,-1,38,N,
F,,j-MT,,1,-24,12,N,
F,,h-AM,,1,-4,10,N,
F,,E,,1,1,18,N,
F,,i-Mezz,,1,-2,17,N,
F,,G,,1,5,17,N,
i-Mezz,,D,,-2,1,8,N,
i-Mezz,,C,,-2,1,8,N,
i-Mezz,,A,,-2,-1,55,N,
i-Mezz,,B,,-2,2,60,N,
i-Mezz,,k-IH,,-2,-1,59,N,
i-Mezz,,PO,,-2,-1,69,N,
i-Mezz,,SR,,-2,-1,39,N,
i-Mezz,,TC,,-2,-1,32,N,
i-Mezz,,j-MT,,-2,-24,9,N,
i-Mezz,,h-AM,,-2,-4,7,N,
i-Mezz,,F,,-2,1,17,N,
i-Mezz,,E,,-2,-2,4,N,
i-Mezz,,G,,-2,5,18,N,
G,,D,,5,1,23,N,
G,,C,,5,1,22,N,
G,,A,,5,-1,68,N,
G,,B,,5,2,73,N,
G,,k-IH,,5,-1,73,N,
G,,PO,,5,-1,83,N,
G,,SR,,5,-1,46,N,
G,,TC,,5,-1,39,N,
G,,j-MT,,5,-24,14,N,
G,,h-AM,,5,-4,12,N,
G,,F,,5,1,17,N,
G,,i-Mezz,,5,-2,18,N,
G,,E,,5,5,20,N,
