,2,4,6,8,10,12,14,15,16
2,,2,,,,,,,
4,2,,2,,,,,,
6,,2,,2,,,,,
8,,,2,,2,,,,
10,,,,2,,2,,,
12,,,,,2,,3,,
14,,,,,,3,,1,
15,,,,,,,1,,1
16,,,,,,,,1,
