,-1,1,2,3,4,5,6,7,8,-2,9,10,11,12,13,14,15,16,18,19,20
-1,,5,,,,,,,,,,,,,,,,,,,
1,5,,9.5,,,,,,,,,,,,,,,,,,
2,,9.5,,1,,,,,,,,,,,,,,,,,
3,,,1,,1,,,,,,,,,,,,,,,,
4,,,,1,,1,,,,,,,,,,,,,,,
5,,,,,1,,1,,,,,,,,,,,,,,
6,,,,,,1,,1,,,,,,,,,,,,,
7,,,,,,,1,,1,,,,,,,,,,,,
8,,,,,,,,1,,1,,,,,,,,,,,
-2,,,,,,,,,1,,8.5,,,,,,,,,,
9,,,,,,,,,,8.5,,7,,,,,,,,,
10,,,,,,,,,,,7,,1,,,,,,,,
11,,,,,,,,,,,,1,,8.5,,,,,,,
12,,,,,,,,,,,,,8.5,,1,,,,,,
13,,,,,,,,,,,,,,1,,1,,,,,
14,,,,,,,,,,,,,,,1,,1,,,,
15,,,,,,,,,,,,,,,,1,,1,,,
16,,,,,,,,,,,,,,,,,1,,9,,
18,,,,,,,,,,,,,,,,,,9,,1,
19,,,,,,,,,,,,,,,,,,,1,,1
20,,,,,,,,,,,,,,,,,,,,1,
