,-1,-2,-3,-4,11,12,13,14,15,16,8,9,10,7,6,5,1,2,3,4
-1,,3.5,,,,,,,,,,,,,,,,,,
-2,3.5,,2,,,,,,,,,,,,,,,,,
-3,,2,,5.5,,,,,,,,,,,,,,,,
-4,,,5.5,,3,,,,,,,,,,,,,,,
11,,,,3,,3,,,,,,,,,,,,,,
12,,,,,3,,1,,,,,,,,,,,,,
13,,,,,,1,,1,,,,,,,,,,,,
14,,,,,,,1,,1,,,,,,,,,,,
15,,,,,,,,1,,1,,,,,,,,,,
16,,,,,,,,,1,,1,,,,,,,,,
8,,,,,,,,,,1,,3.5,,,,,,,,
9,,,,,,,,,,,3.5,,1,,,,,,,
10,,,,,,,,,,,,1,,1,,,,,,
7,,,,,,,,,,,,,1,,1.5,,,,,
6,,,,,,,,,,,,,,1.5,,3,,,,
5,,,,,,,,,,,,,,,3,,4,,,
1,,,,,,,,,,,,,,,,4,,4,,
2,,,,,,,,,,,,,,,,,4,,1,
3,,,,,,,,,,,,,,,,,,1,,1
4,,,,,,,,,,,,,,,,,,,1,
