,-1,2,3,4,5,6,7,8,9,11,12,13,14
-1,,9.5,,,,,,,,,,,
2,9.5,,2,,,,,,,,,,
3,,2,,2,,,,,,,,,
4,,,2,,2,,,,,,,,
5,,,,2,,2,,,,,,,
6,,,,,2,,2,,,,,,
7,,,,,,2,,2,,,,,
8,,,,,,,2,,2,,,,
9,,,,,,,,2,,4,,,
11,,,,,,,,,4,,2,,
12,,,,,,,,,,2,,2,
13,,,,,,,,,,,2,,2
14,,,,,,,,,,,,2,
