,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,-1,-2,-3,40,41,42,43,44,45,46,47,48,49,50,51
23,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,2.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,3.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,2,,2.5,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,2.5,,4,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,2,,13,,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,13,,13,,,,,,,,,,,,,
-2,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,3,,1.5,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,1.5,,2.5,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,2.5,,5,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,5,,1.5,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,1.5,,2,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2.5,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,4.5,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,1,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
